Geography,Geography,Gender (3),Age (20),Total - Type of collective dwelling,  Health care and related facilities,    Hospitals,    Nursing homes,    Residences for senior citizens,    Facilities that are a mix of both a nursing home and a residence for senior citizens,    Residential care facilities such as group homes for persons with disabilities and addictions,  Correctional and custodial facilities,  Shelters,  Service collective dwellings,    Lodging and rooming houses,"    Hotels, motels and other establishments with temporary accommodation services",    Other service collective dwellings,  Religious establishments,  Hutterite colonies,  Other collective dwellings
10,Newfoundland and Labrador,  Women+,  60 to 64 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Women+,  65 years and over,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Women+,    65 to 69 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Women+,    70 to 74 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Women+,    75 to 79 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Women+,    80 to 84 years,,,,,,,,,,,,,,,,
10,Newfoundland and Labrador,  Women+,    85 years and over,,,,,,,,,,,,,,,,
11,Prince Edward Island,Total - Gender,Total - Age,,,,,,,,,,,,,,,,
11,Prince Edward Island,Total - Gender,  0 to 14 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,Total - Gender,  15 to 19 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,Total - Gender,    15 to 17 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,Total - Gender,    18 to 19 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,Total - Gender,  20 to 24 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,Total - Gender,  25 to 29 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,Total - Gender,  30 to 34 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,Total - Gender,  35 to 39 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,Total - Gender,  40 to 44 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,Total - Gender,  45 to 49 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,Total - Gender,  50 to 54 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,Total - Gender,  55 to 59 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,Total - Gender,  60 to 64 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,Total - Gender,  65 years and over,,,,,,,,,,,,,,,,
11,Prince Edward Island,Total - Gender,    65 to 69 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,Total - Gender,    70 to 74 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,Total - Gender,    75 to 79 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,Total - Gender,    80 to 84 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,Total - Gender,    85 years and over,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Men+,Total - Age,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Men+,  0 to 14 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Men+,  15 to 19 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Men+,    15 to 17 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Men+,    18 to 19 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Men+,  20 to 24 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Men+,  25 to 29 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Men+,  30 to 34 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Men+,  35 to 39 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Men+,  40 to 44 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Men+,  45 to 49 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Men+,  50 to 54 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Men+,  55 to 59 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Men+,  60 to 64 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Men+,  65 years and over,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Men+,    65 to 69 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Men+,    70 to 74 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Men+,    75 to 79 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Men+,    80 to 84 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Men+,    85 years and over,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Women+,Total - Age,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Women+,  0 to 14 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Women+,  15 to 19 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Women+,    15 to 17 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Women+,    18 to 19 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Women+,  20 to 24 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Women+,  25 to 29 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Women+,  30 to 34 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Women+,  35 to 39 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Women+,  40 to 44 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Women+,  45 to 49 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Women+,  50 to 54 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Women+,  55 to 59 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Women+,  60 to 64 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Women+,  65 years and over,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Women+,    65 to 69 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Women+,    70 to 74 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Women+,    75 to 79 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Women+,    80 to 84 years,,,,,,,,,,,,,,,,
11,Prince Edward Island,  Women+,    85 years and over,,,,,,,,,,,,,,,,
12,Nova Scotia,Total - Gender,Total - Age,,,,,,,,,,,,,,,,
12,Nova Scotia,Total - Gender,  0 to 14 years,,,,,,,,,,,,,,,,
12,Nova Scotia,Total - Gender,  15 to 19 years,,,,,,,,,,,,,,,,
12,Nova Scotia,Total - Gender,    15 to 17 years,,,,,,,,,,,,,,,,
12,Nova Scotia,Total - Gender,    18 to 19 years,,,,,,,,,,,,,,,,
12,Nova Scotia,Total - Gender,  20 to 24 years,,,,,,,,,,,,,,,,
12,Nova Scotia,Total - Gender,  25 to 29 years,,,,,,,,,,,,,,,,
12,Nova Scotia,Total - Gender,  30 to 34 years,,,,,,,,,,,,,,,,
12,Nova Scotia,Total - Gender,  35 to 39 years,,,,,,,,,,,,,,,,
12,Nova Scotia,Total - Gender,  40 to 44 years,,,,,,,,,,,,,,,,
12,Nova Scotia,Total - Gender,  45 to 49 years,,,,,,,,,,,,,,,,
12,Nova Scotia,Total - Gender,  50 to 54 years,,,,,,,,,,,,,,,,
12,Nova Scotia,Total - Gender,  55 to 59 years,,,,,,,,,,,,,,,,
12,Nova Scotia,Total - Gender,  60 to 64 years,,,,,,,,,,,,,,,,
12,Nova Scotia,Total - Gender,  65 years and over,,,,,,,,,,,,,,,,
12,Nova Scotia,Total - Gender,    65 to 69 years,,,,,,,,,,,,,,,,
12,Nova Scotia,Total - Gender,    70 to 74 years,,,,,,,,,,,,,,,,
12,Nova Scotia,Total - Gender,    75 to 79 years,,,,,,,,,,,,,,,,
12,Nova Scotia,Total - Gender,    80 to 84 years,,,,,,,,,,,,,,,,
12,Nova Scotia,Total - Gender,    85 years and over,,,,,,,,,,,,,,,,
12,Nova Scotia,  Men+,Total - Age,,,,,,,,,,,,,,,,
12,Nova Scotia,  Men+,  0 to 14 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Men+,  15 to 19 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Men+,    15 to 17 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Men+,    18 to 19 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Men+,  20 to 24 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Men+,  25 to 29 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Men+,  30 to 34 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Men+,  35 to 39 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Men+,  40 to 44 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Men+,  45 to 49 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Men+,  50 to 54 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Men+,  55 to 59 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Men+,  60 to 64 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Men+,  65 years and over,,,,,,,,,,,,,,,,
12,Nova Scotia,  Men+,    65 to 69 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Men+,    70 to 74 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Men+,    75 to 79 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Men+,    80 to 84 years,,,,,,,,,,,,,,,,
12,Nova Scotia,  Men+,    85 years and over,,,,,,,,,,,,,,,,
12,Nova Scotia,  Women+,Total - Age,,,,,,,,,,,,,,,,
12,Nova Scotia,  Women+,  0 to 14 years,,,,,,,,,,,,,,,,
